DealID,CustomerID,SalespersonID,InterestedVehicleClass,BudgetRange,Status,UrgencyLevel,HealthScore,LowerBenchmark,UpperBenchmark,InteractionCount,StartDate,LastContactDate,PointOfFailure,IntendedPurchaseTimeframe,IntendedPurchaseJourney,PastInquiryHistory,PreferredCommunication,HomeLocation,LeadSource,LoyaltyStatus,AgeGroup,Gender,Profession,CustomerSegment,DealStageHistory,AssignedBranch,ClosingDate,DealNotes,FollowUpRequired,DiscountOffered,ReEngagementAttempted
D1153,CUST0460,SALESP009,SUV,"$35,467-$47,406",pass,High,90,57,66,2,2025-05-15,2025-06-27,,<1 month,research,"Looked at 2020 Explorer, still considering",text,"Charlotte, NC",web,returning customer,65+,Male,Marketing Manager,loyal,"[[""lead"", ""2025-05-15""], [""contacted"", ""2025-05-16""], [""appointment"", ""2025-05-17""], [""proposal"", ""2025-05-19""], [""negotiation"", ""2025-05-20""], [""sold"", ""2025-05-22""]]",South Branch,2025-06-27,"Repeat customer, easy close",no,"$1,201",no
D1154,CUST0415,SALESP040,sedan,"$32,573-$41,784",pass,Medium,87,57,73,7,2025-04-10,2025-06-29,,1-3 months,research,"Looked at 2020 Explorer, went with competitor",call,"Phoenix, AZ",OEM feed,in-service customer,36-50,Male,HR Manager,price-sensitive,"[[""lead"", ""2025-04-10""], [""contacted"", ""2025-04-11""], [""appointment"", ""2025-04-14""], [""proposal"", ""2025-04-16""], [""negotiation"", ""2025-04-20""], [""sold"", ""2025-04-24""]]",North Branch,2025-06-29,"Smooth transaction, customer very satisfied",no,"$1,633",no
D1155,CUST0361,SALESP052,SUV,"$38,274-$51,079",pass,Critical,87,59,75,4,2025-03-27,2025-05-09,,immediate,trade-in,"Looked at 2022 RAV4, went with competitor",WhatsApp,"Boston, MA",OEM feed,returning customer,26-35,Male,Pharmacist,loyal,"[[""lead"", ""2025-03-27""], [""contacted"", ""2025-03-29""], [""appointment"", ""2025-03-31""], [""proposal"", ""2025-04-01""], [""negotiation"", ""2025-04-03""], [""sold"", ""2025-04-05""]]",Main Street,2025-05-09,Added extended warranty package,no,"$1,152",no
D1156,CUST0151,SALESP075,sedan,"$26,082-$39,249",pass,Medium,71,42,75,5,2025-01-08,2025-01-30,,<1 month,trade-in,"Looked at 2023 Mustang, did not purchase",text,"Los Angeles, CA",walk-in,new customer,26-35,Female,Operations Manager,first-time,"[[""lead"", ""2025-01-08""], [""contacted"", ""2025-01-11""], [""appointment"", ""2025-01-17""], [""proposal"", ""2025-01-20""], [""negotiation"", ""2025-01-23""], [""sold"", ""2025-01-27""]]",Main Street,2025-01-30,Added extended warranty package,no,$719,no
D1157,CUST0368,SALESP006,sports,"$43,615-$67,575",pass,High,65,55,75,3,2025-01-17,2025-01-26,,1-3 months,research,"Looked at 2022 CR-V, still considering",call,"San Jose, CA",web,returning customer,51-65,Male,Project Manager,loyal,"[[""lead"", ""2025-01-17""], [""contacted"", ""2025-01-18""], [""appointment"", ""2025-01-20""], [""proposal"", ""2025-01-22""], [""negotiation"", ""2025-01-23""], [""sold"", ""2025-01-25""]]",Airport,2025-01-26,Financing approved quickly,no,"$1,183",no
D1158,CUST0168,SALESP059,used,"$18,333-$23,739",pass,Critical,69,55,69,2,2025-05-28,2025-06-06,,immediate,compare deals,"Looked at 2022 RAV4, went with competitor",call,"Portland, OR",OEM feed,returning customer,36-50,Male,Project Manager,price-sensitive,"[[""lead"", ""2025-05-28""], [""contacted"", ""2025-05-30""], [""appointment"", ""2025-05-31""], [""proposal"", ""2025-06-01""], [""negotiation"", ""2025-06-03""], [""sold"", ""2025-06-05""]]",Main Street,2025-06-06,"Smooth transaction, customer very satisfied",no,$254,no
D1159,CUST0144,SALESP006,sedan,"$26,625-$40,961",pass,Medium,66,44,75,6,2025-02-21,2025-04-05,,1-3 months,research,"Looked at 2021 Accord, still considering",call,"Austin, TX",web,returning customer,65+,Female,Real Estate Agent,loyal,"[[""lead"", ""2025-02-21""], [""contacted"", ""2025-02-22""], [""appointment"", ""2025-02-26""], [""proposal"", ""2025-02-28""], [""negotiation"", ""2025-03-03""], [""sold"", ""2025-03-07""]]",North Branch,2025-04-05,Added extended warranty package,no,"$1,507",no
D1160,CUST1660,SALESP017,sedan,"$27,604-$37,237",fail,Medium,54,68,77,7,2025-09-27,2025-11-18,price,1-3 months,finance inquiry,No prior history,call,"Various, USA",web,returning customer,36-50,Female,Not specified,first-time,"[[""lead"", ""2025-09-27""], [""contacted"", ""2025-09-30""], [""appointment"", ""2025-10-06""], [""lost"", ""2025-11-18""]]",North Branch,,Customer wanted larger discount than we could offer,yes,"$2,124",pending
D1161,CUST0219,SALESP091,EV,"$43,696-$57,083",pass,Critical,93,46,72,5,2025-06-18,2025-07-10,,immediate,trade-in,"Looked at 2022 Corolla, still considering",text,"Charlotte, NC",walk-in,returning customer,36-50,Female,Operations Manager,loyal,"[[""lead"", ""2025-06-18""], [""contacted"", ""2025-06-21""], [""appointment"", ""2025-06-23""], [""proposal"", ""2025-06-24""], [""negotiation"", ""2025-06-25""], [""sold"", ""2025-06-27""]]",Airport,2025-07-10,Trade-in processed successfully,no,$531,no
D1162,CUST0176,SALESP090,SUV,"$51,174-$68,875",pass,Medium,87,60,67,7,2025-01-21,2025-03-19,,1-3 months,research,"Looked at 2023 Mustang, still considering",call,"Jacksonville, FL",walk-in,new customer,26-35,Female,Sales Manager,luxury,"[[""lead"", ""2025-01-21""], [""contacted"", ""2025-01-23""], [""appointment"", ""2025-01-26""], [""proposal"", ""2025-01-31""], [""negotiation"", ""2025-02-05""], [""sold"", ""2025-02-10""]]",Airport,2025-03-19,Financing approved quickly,no,"$1,012",no
D1163,CUST0439,SALESP028,SUV,"$44,440-$58,188",fail,Critical,57,53,75,4,2025-06-02,2025-07-15,price,immediate,trade-in,"Looked at 2022 CR-V, purchased",email,"Denver, CO",web,new customer,26-35,Female,Software Engineer,price-sensitive,"[[""lead"", ""2025-06-02""], [""contacted"", ""2025-06-04""], [""lost"", ""2025-07-15""]]",Main Street,,Customer wanted larger discount than we could offer,no,$0,pending
D1164,CUST0463,SALESP097,sports,"$47,187-$70,046",fail,Medium,24,69,87,9,2025-04-13,2025-05-31,lost interest,just exploring,research,"Looked at 2022 RAV4, did not purchase",email,"Fresno, CA",OEM feed,in-service customer,36-50,Male,Small Business Owner,luxury,"[[""lead"", ""2025-04-13""], [""contacted"", ""2025-04-15""], [""appointment"", ""2025-04-22""], [""proposal"", ""2025-04-26""], [""negotiation"", ""2025-05-03""], [""lost"", ""2025-05-31""]]",South Branch,,Customer decided to postpone purchase indefinitely,yes,$0,no
D1165,CUST0302,SALESP017,sports,"$46,787-$69,439",fail,Low,24,69,83,7,2025-03-13,2025-04-21,ghosted,just exploring,finance inquiry,"Looked at 2023 Model 3, purchased",email,"Memphis, TN",referral,new customer,36-50,Male,Business Analyst,luxury,"[[""lead"", ""2025-03-13""], [""contacted"", ""2025-03-14""], [""appointment"", ""2025-03-16""], [""proposal"", ""2025-03-19""], [""negotiation"", ""2025-03-24""], [""lost"", ""2025-04-21""]]",Downtown,,Customer stopped responding to calls and messages,yes,$0,yes
D1166,CUST0391,SALESP052,SUV,"$43,035-$57,623",pass,Medium,81,45,68,5,2025-12-12,2026-01-02,,just exploring,compare deals,"Looked at 2021 Camry, did not purchase",text,"Seattle, WA",web,returning customer,51-65,Female,Project Manager,loyal,"[[""lead"", ""2025-12-12""], [""contacted"", ""2025-12-14""], [""appointment"", ""2025-12-18""], [""proposal"", ""2025-12-23""], [""negotiation"", ""2025-12-30""], [""sold"", ""2026-01-01""]]",Main Street,2026-01-24,"Negotiated on price, final discount applied",no,"$1,099",no
D1167,CUST0291,SALESP060,SUV,"$35,533-$46,234",pass,Critical,66,48,75,3,2025-02-07,2025-02-28,,immediate,finance inquiry,"Looked at 2022 RAV4, purchased",call,"Denver, CO",referral,in-service customer,65+,Female,Nurse,loyal,"[[""lead"", ""2025-02-07""], [""contacted"", ""2025-02-08""], [""appointment"", ""2025-02-09""], [""proposal"", ""2025-02-10""], [""negotiation"", ""2025-02-11""], [""sold"", ""2025-02-13""]]",North Branch,2025-02-28,"Negotiated on price, final discount applied",no,"$1,122",no
D1168,CUST0088,SALESP030,sedan,"$22,828-$33,132",pass,High,93,45,71,5,2025-04-15,2025-05-05,,immediate,trade-in,"Looked at 2023 Mustang, did not purchase",text,"Nashville, TN",OEM feed,in-service customer,65+,Female,HR Manager,loyal,"[[""lead"", ""2025-04-15""], [""contacted"", ""2025-04-16""], [""appointment"", ""2025-04-19""], [""proposal"", ""2025-04-20""], [""negotiation"", ""2025-04-22""], [""sold"", ""2025-04-24""]]",South Branch,2025-05-05,"Repeat customer, easy close",no,$414,no
D1169,CUST0177,SALESP062,SUV,"$43,698-$54,021",pass,High,83,46,72,5,2025-10-29,2025-12-01,,1-3 months,research,"Looked at 2021 Accord, did not purchase",email,"Las Vegas, NV",web,in-service customer,36-50,Female,Lawyer,loyal,"[[""lead"", ""2025-10-29""], [""contacted"", ""2025-10-31""], [""appointment"", ""2025-11-01""], [""proposal"", ""2025-11-02""], [""negotiation"", ""2025-11-04""], [""sold"", ""2025-11-05""]]",North Branch,2025-12-01,Added extended warranty package,no,$924,no
D1170,CUST1670,SALESP006,SUV,"$63,630-$90,401",pass,High,90,46,68,2,2025-12-27,2026-01-05,,1-3 months,compare deals,No prior history,text,"Various, USA",referral,new customer,26-35,Male,Not specified,luxury,"[[""lead"", ""2025-12-27""], [""contacted"", ""2025-12-28""], [""appointment"", ""2025-12-31""], [""proposal"", ""2026-01-01""], [""negotiation"", ""2026-01-03""], [""sold"", ""2026-01-04""]]",Downtown,2026-02-02,"Smooth transaction, customer very satisfied",no,"$2,015",no
D1171,CUST0355,SALESP006,sedan,"$28,418-$36,835",fail,Critical,53,70,82,11,2025-01-26,2025-02-17,lost interest,immediate,trade-in,"Looked at 2021 Accord, purchased",email,"Las Vegas, NV",web,returning customer,36-50,Female,Plumber,loyal,"[[""lead"", ""2025-01-26""], [""contacted"", ""2025-01-27""], [""appointment"", ""2025-02-02""], [""lost"", ""2025-02-17""]]",Main Street,,Customer decided to postpone purchase indefinitely,pending,$640,pending
D1172,CUST1672,SALESP005,SUV,"$40,203-$54,941",fail,Low,58,68,84,6,2025-08-06,2025-08-19,follow-up delay,just exploring,finance inquiry,No prior history,email,"Various, USA",OEM feed,new customer,36-50,Female,Not specified,first-time,"[[""lead"", ""2025-08-06""], [""contacted"", ""2025-08-09""], [""appointment"", ""2025-08-14""], [""proposal"", ""2025-08-19""], [""negotiation"", ""2025-08-23""], [""lost"", ""2025-08-19""]]",North Branch,,"Failed to follow up in timely manner, customer lost interest",no,"$1,912",no
D1173,CUST0346,SALESP081,sedan,"$26,469-$39,083",fail,Medium,45,60,86,5,2025-05-11,2025-07-10,financing terms,1-3 months,compare deals,"Looked at 2022 CR-V, purchased",text,"Detroit, MI",OEM feed,returning customer,26-35,Male,Doctor,price-sensitive,"[[""lead"", ""2025-05-11""], [""contacted"", ""2025-05-14""], [""appointment"", ""2025-05-19""], [""proposal"", ""2025-05-24""], [""negotiation"", ""2025-05-28""], [""lost"", ""2025-07-10""]]",Main Street,,Unable to agree on acceptable financing terms,pending,$0,no
D1174,CUST0441,SALESP089,sedan,"$34,512-$46,800",fail,Low,24,50,77,11,2025-12-01,2025-12-12,ghosted,1-3 months,research,"Looked at 2021 Accord, still considering",email,"Fresno, CA",web,new customer,36-50,Female,Doctor,first-time,"[[""lead"", ""2025-12-01""], [""contacted"", ""2025-12-03""], [""lost"", ""2025-12-12""]]",Main Street,,Customer stopped responding to calls and messages,yes,$722,yes
D1175,CUST0353,SALESP059,sedan,"$28,637-$42,025",fail,High,42,50,90,7,2025-10-17,2025-11-18,trade-in,1-3 months,finance inquiry,"Looked at 2023 Model 3, did not purchase",text,"San Antonio, TX",referral,new customer,18-25,Female,Teacher,first-time,"[[""lead"", ""2025-10-17""], [""contacted"", ""2025-10-20""], [""appointment"", ""2025-10-24""], [""proposal"", ""2025-10-28""], [""negotiation"", ""2025-11-04""], [""lost"", ""2025-11-18""]]",Airport,,Trade-in valuation did not meet customer expectations,yes,$0,yes
D1176,CUST1676,SALESP070,EV,"$38,319-$53,488",fail,Medium,42,61,80,4,2025-08-05,2025-09-14,trade-in,<1 month,trade-in,No prior history,call,"Various, USA",OEM feed,new customer,36-50,Male,Not specified,fleet/corporate,"[[""lead"", ""2025-08-05""], [""contacted"", ""2025-08-08""], [""lost"", ""2025-09-14""]]",Main Street,,Trade-in valuation did not meet customer expectations,yes,"$1,607",yes
D1177,CUST0251,SALESP085,SUV,"$30,482-$49,574",pass,Medium,95,56,71,3,2025-03-25,2025-05-10,,just exploring,trade-in,"Looked at 2023 Mustang, went with competitor",call,"Mesa, AZ",web,returning customer,51-65,Female,Engineer,price-sensitive,"[[""lead"", ""2025-03-25""], [""contacted"", ""2025-03-26""], [""appointment"", ""2025-04-02""], [""proposal"", ""2025-04-07""], [""negotiation"", ""2025-04-12""], [""sold"", ""2025-04-17""]]",Main Street,2025-05-10,"Smooth transaction, customer very satisfied",no,$583,no
D1178,CUST0416,SALESP052,sedan,"$33,335-$43,810",fail,Low,54,61,86,7,2025-01-06,2025-01-13,lost interest,just exploring,finance inquiry,"Looked at 2023 Model 3, did not purchase",email,"San Jose, CA",walk-in,in-service customer,51-65,Female,Executive,loyal,"[[""lead"", ""2025-01-06""], [""contacted"", ""2025-01-08""], [""appointment"", ""2025-01-15""], [""lost"", ""2025-01-13""]]",South Branch,,Customer decided to postpone purchase indefinitely,pending,$0,pending
D1179,CUST1679,SALESP005,used,"$16,402-$23,597",fail,Low,30,62,87,9,2025-09-15,2025-11-06,follow-up delay,just exploring,book appointment,No prior history,call,"Various, USA",referral,returning customer,36-50,Male,Not specified,first-time,"[[""lead"", ""2025-09-15""], [""contacted"", ""2025-09-16""], [""appointment"", ""2025-09-23""], [""proposal"", ""2025-09-28""], [""negotiation"", ""2025-09-30""], [""lost"", ""2025-11-06""]]",South Branch,,"Failed to follow up in timely manner, customer lost interest",yes,$0,no
D1180,CUST0374,SALESP078,SUV,"$39,062-$55,731",pass,Medium,82,51,71,3,2025-08-26,2025-10-14,,1-3 months,compare deals,"Looked at 2021 F-150, still considering",call,"Boston, MA",web,returning customer,65+,Male,Financial Advisor,loyal,"[[""lead"", ""2025-08-26""], [""contacted"", ""2025-08-29""], [""appointment"", ""2025-09-05""], [""proposal"", ""2025-09-10""], [""negotiation"", ""2025-09-15""], [""sold"", ""2025-09-18""]]",Main Street,2025-10-14,Added extended warranty package,no,"$1,286",no
D1181,CUST0399,SALESP006,sports,"$53,463-$86,278",pass,Medium,90,49,67,4,2025-02-17,2025-03-19,,1-3 months,trade-in,"Looked at 2023 Model 3, purchased",email,"Fort Worth, TX",web,in-service customer,36-50,Male,HR Manager,loyal,"[[""lead"", ""2025-02-17""], [""contacted"", ""2025-02-18""], [""appointment"", ""2025-02-25""], [""proposal"", ""2025-03-02""], [""negotiation"", ""2025-03-05""], [""sold"", ""2025-03-08""]]",South Branch,2025-03-19,"Negotiated on price, final discount applied",no,"$1,193",no
D1182,CUST1682,SALESP014,sports,"$53,738-$75,110",pass,Medium,81,55,75,4,2025-10-11,2025-11-03,,1-3 months,research,No prior history,call,"Various, USA",web,new customer,36-50,Male,Not specified,luxury,"[[""lead"", ""2025-10-11""], [""contacted"", ""2025-10-14""], [""appointment"", ""2025-10-17""], [""proposal"", ""2025-10-19""], [""negotiation"", ""2025-10-23""], [""sold"", ""2025-10-25""]]",North Branch,2025-11-03,"Repeat customer, easy close",no,$948,no
D1183,CUST1683,SALESP046,SUV,"$38,020-$53,663",pass,Critical,85,53,71,2,2025-05-05,2025-06-18,,<1 month,research,No prior history,email,"Various, USA",OEM feed,returning customer,36-50,Female,Not specified,loyal,"[[""lead"", ""2025-05-05""], [""contacted"", ""2025-05-06""], [""appointment"", ""2025-05-09""], [""proposal"", ""2025-05-10""], [""negotiation"", ""2025-05-12""], [""sold"", ""2025-05-14""]]",Downtown,2025-06-18,Upgraded to higher trim level,no,$972,no
D1184,CUST0405,SALESP035,sedan,"$25,908-$35,546",fail,Critical,49,54,77,9,2025-02-26,2025-04-06,price,immediate,trade-in,"Looked at 2021 Accord, did not purchase",call,"Columbus, OH",web,returning customer,51-65,Female,Operations Manager,fleet/corporate,"[[""lead"", ""2025-02-26""], [""contacted"", ""2025-03-01""], [""appointment"", ""2025-03-06""], [""proposal"", ""2025-03-10""], [""negotiation"", ""2025-03-14""], [""lost"", ""2025-04-06""]]",Airport,,Customer wanted larger discount than we could offer,pending,$0,pending
D1185,CUST0051,SALESP065,sedan,"$31,577-$42,698",fail,Low,47,61,80,11,2025-05-17,2025-05-25,lost interest,just exploring,research,"Looked at 2022 CR-V, purchased",WhatsApp,"San Antonio, TX",web,in-service customer,36-50,Female,Lawyer,price-sensitive,"[[""lead"", ""2025-05-17""], [""contacted"", ""2025-05-19""], [""appointment"", ""2025-05-22""], [""lost"", ""2025-05-25""]]",South Branch,,Customer decided to postpone purchase indefinitely,yes,$0,yes
D1186,CUST0232,SALESP028,sedan,"$30,165-$41,207",fail,Low,60,67,80,4,2025-04-25,2025-06-11,credit,just exploring,book appointment,"Looked at 2022 Corolla, did not purchase",email,"Milwaukee, WI",referral,new customer,26-35,Male,Chef,price-sensitive,"[[""lead"", ""2025-04-25""], [""contacted"", ""2025-04-27""], [""appointment"", ""2025-04-30""], [""proposal"", ""2025-05-04""], [""negotiation"", ""2025-05-07""], [""lost"", ""2025-06-11""]]",South Branch,,"Credit application denied, unable to secure financing",pending,$0,no
D1187,CUST0489,SALESP010,SUV,"$41,753-$56,358",pass,Medium,74,40,74,4,2025-04-08,2025-06-16,,<1 month,finance inquiry,"Looked at 2021 Camry, purchased",WhatsApp,"Las Vegas, NV",web,new customer,26-35,Male,Construction Manager,price-sensitive,"[[""lead"", ""2025-04-08""], [""contacted"", ""2025-04-09""], [""appointment"", ""2025-04-13""], [""proposal"", ""2025-04-16""], [""negotiation"", ""2025-04-22""], [""sold"", ""2025-04-26""]]",North Branch,2025-06-16,"Negotiated on price, final discount applied",no,$400,no
D1188,CUST0356,SALESP089,used,"$21,443-$29,030",fail,High,23,56,86,4,2025-03-28,2025-04-08,lost interest,1-3 months,compare deals,"Looked at 2022 RAV4, did not purchase",WhatsApp,"Austin, TX",web,returning customer,26-35,Male,Government Employee,price-sensitive,"[[""lead"", ""2025-03-28""], [""contacted"", ""2025-03-29""], [""appointment"", ""2025-04-01""], [""proposal"", ""2025-04-06""], [""negotiation"", ""2025-04-08""], [""lost"", ""2025-04-08""]]",North Branch,,Customer decided to postpone purchase indefinitely,yes,$790,no
D1189,CUST1689,SALESP066,sedan,"$34,693-$44,476",pass,Critical,80,52,67,2,2025-06-08,2025-06-29,,immediate,finance inquiry,No prior history,call,"Various, USA",OEM feed,new customer,65+,Female,Not specified,price-sensitive,"[[""lead"", ""2025-06-08""], [""contacted"", ""2025-06-09""], [""appointment"", ""2025-06-10""], [""proposal"", ""2025-06-12""], [""negotiation"", ""2025-06-13""], [""sold"", ""2025-06-14""]]",Main Street,2025-06-29,Upgraded to higher trim level,no,$904,no
D1190,CUST1690,SALESP021,SUV,"$35,525-$47,556",fail,Medium,31,50,82,5,2025-12-06,2026-01-05,lost interest,just exploring,research,No prior history,email,"Various, USA",web,in-service customer,51-65,Male,Not specified,fleet/corporate,"[[""lead"", ""2025-12-06""], [""contacted"", ""2025-12-08""], [""appointment"", ""2025-12-12""], [""lost"", ""2026-01-05""]]",Downtown,,Customer decided to postpone purchase indefinitely,yes,$0,no
D1191,CUST0401,SALESP083,EV,"$48,600-$62,681",pass,Medium,93,48,75,5,2026-01-05,2025-12-30,,1-3 months,trade-in,"Looked at 2022 CR-V, purchased",text,"Phoenix, AZ",OEM feed,in-service customer,26-35,Female,Financial Advisor,loyal,"[[""lead"", ""2026-01-05""], [""contacted"", ""2026-01-08""], [""appointment"", ""2026-01-12""], [""proposal"", ""2026-01-14""], [""negotiation"", ""2026-01-20""], [""sold"", ""2026-01-22""]]",Downtown,2026-02-11,Financing approved quickly,no,$247,no
D1192,CUST0497,SALESP088,used,"$13,278-$18,893",fail,Medium,27,54,83,9,2025-08-12,2025-09-07,financing terms,just exploring,research,"Looked at 2023 Model 3, still considering",email,"San Antonio, TX",walk-in,new customer,36-50,Male,Lawyer,price-sensitive,"[[""lead"", ""2025-08-12""], [""contacted"", ""2025-08-13""], [""appointment"", ""2025-08-16""], [""proposal"", ""2025-08-19""], [""negotiation"", ""2025-08-22""], [""lost"", ""2025-09-07""]]",Main Street,,Unable to agree on acceptable financing terms,yes,$0,pending
D1193,CUST0198,SALESP044,sports,"$59,189-$80,680",pass,Low,84,52,68,3,2025-07-01,2025-07-29,,just exploring,research,"Looked at 2022 RAV4, did not purchase",email,"Austin, TX",walk-in,new customer,36-50,Female,Lawyer,luxury,"[[""lead"", ""2025-07-01""], [""contacted"", ""2025-07-03""], [""appointment"", ""2025-07-08""], [""proposal"", ""2025-07-12""], [""negotiation"", ""2025-07-19""], [""sold"", ""2025-07-22""]]",Airport,2025-07-29,Customer appreciated responsive service,no,$616,no
D1194,CUST0370,SALESP001,sedan,"$28,344-$38,251",fail,Medium,52,53,82,4,2025-05-02,2025-06-17,financing terms,<1 month,finance inquiry,"Looked at 2021 Accord, purchased",WhatsApp,"Portland, OR",web,new customer,18-25,Male,Accountant,first-time,"[[""lead"", ""2025-05-02""], [""contacted"", ""2025-05-05""], [""appointment"", ""2025-05-07""], [""proposal"", ""2025-05-10""], [""negotiation"", ""2025-05-17""], [""lost"", ""2025-06-17""]]",Airport,,Unable to agree on acceptable financing terms,yes,"$1,568",yes
D1195,CUST0473,SALESP146,used,"$18,122-$23,805",pass,High,67,55,70,2,2025-03-02,2025-03-20,,<1 month,compare deals,"Looked at 2021 F-150, did not purchase",text,"Dallas, TX",OEM feed,in-service customer,26-35,Female,Executive,loyal,"[[""lead"", ""2025-03-02""], [""contacted"", ""2025-03-04""], [""appointment"", ""2025-03-07""], [""proposal"", ""2025-03-09""], [""negotiation"", ""2025-03-11""], [""sold"", ""2025-03-13""]]",Airport,2025-03-20,Customer appreciated responsive service,no,$752,no
D1196,CUST0407,SALESP052,sedan,"$23,668-$37,505",pass,Low,92,44,65,6,2025-11-23,2026-01-04,,just exploring,research,"Looked at 2022 RAV4, did not purchase",call,"Los Angeles, CA",referral,returning customer,26-35,Female,Customer Service Rep,loyal,"[[""lead"", ""2025-11-23""], [""contacted"", ""2025-11-26""], [""appointment"", ""2025-12-03""], [""proposal"", ""2025-12-07""], [""negotiation"", ""2025-12-14""], [""sold"", ""2025-12-17""]]",North Branch,2026-02-14,Added extended warranty package,no,"$1,025",no
D1197,CUST0391,SALESP060,SUV,"$43,035-$57,623",pass,Medium,75,43,66,3,2025-02-11,2025-04-11,,just exploring,compare deals,"Looked at 2021 Camry, did not purchase",text,"Seattle, WA",web,returning customer,51-65,Female,Project Manager,loyal,"[[""lead"", ""2025-02-11""], [""contacted"", ""2025-02-13""], [""appointment"", ""2025-02-17""], [""proposal"", ""2025-02-19""], [""negotiation"", ""2025-02-23""], [""sold"", ""2025-02-26""]]",Airport,2025-04-11,"Repeat customer, easy close",no,"$1,902",no
D1198,CUST1698,SALESP012,sedan,"$29,053-$37,158",fail,Medium,60,70,84,12,2025-11-25,2025-12-10,follow-up delay,1-3 months,book appointment,No prior history,call,"Various, USA",web,new customer,26-35,Male,Not specified,fleet/corporate,"[[""lead"", ""2025-11-25""], [""contacted"", ""2025-11-28""], [""lost"", ""2025-12-10""]]",Airport,,"Failed to follow up in timely manner, customer lost interest",no,"$2,187",no
D1199,CUST0126,SALESP079,sports,"$50,269-$89,830",pass,Critical,90,53,67,4,2025-03-21,2025-05-01,,<1 month,trade-in,"Looked at 2020 Civic, did not purchase",WhatsApp,"Dallas, TX",OEM feed,new customer,26-35,Female,Pharmacist,luxury,"[[""lead"", ""2025-03-21""], [""contacted"", ""2025-03-22""], [""appointment"", ""2025-03-23""], [""proposal"", ""2025-03-24""], [""negotiation"", ""2025-03-25""], [""sold"", ""2025-03-27""]]",Airport,2025-05-01,"Negotiated on price, final discount applied",no,"$2,139",no
D1200,CUST0076,SALESP090,EV,"$45,895-$58,080",pass,Critical,66,42,69,5,2025-06-02,2025-06-11,,immediate,research,"Looked at 2022 Corolla, did not purchase",call,"Houston, TX",walk-in,new customer,36-50,Female,HR Manager,luxury,"[[""lead"", ""2025-06-02""], [""contacted"", ""2025-06-05""], [""appointment"", ""2025-06-07""], [""proposal"", ""2025-06-08""], [""negotiation"", ""2025-06-09""], [""sold"", ""2025-06-10""]]",North Branch,2025-06-11,Customer appreciated responsive service,no,"$1,164",no
D1201,CUST0298,SALESP079,sedan,"$25,313-$36,064",pass,High,87,40,65,2,2025-04-10,2025-05-24,,<1 month,research,"Looked at 2020 Explorer, went with competitor",call,"Fresno, CA",walk-in,new customer,36-50,Male,Architect,luxury,"[[""lead"", ""2025-04-10""], [""contacted"", ""2025-04-13""], [""appointment"", ""2025-04-14""], [""proposal"", ""2025-04-15""], [""negotiation"", ""2025-04-17""], [""sold"", ""2025-04-19""]]",Main Street,2025-05-24,"Smooth transaction, customer very satisfied",no,"$2,521",no
D1202,CUST1702,SALESP103,SUV,"$74,797-$102,118",pass,Medium,84,40,74,5,2025-12-06,2025-12-31,,<1 month,finance inquiry,No prior history,text,"Various, USA",walk-in,returning customer,36-50,Male,Not specified,luxury,"[[""lead"", ""2025-12-06""], [""contacted"", ""2025-12-07""], [""appointment"", ""2025-12-13""], [""proposal"", ""2025-12-15""], [""negotiation"", ""2025-12-19""], [""sold"", ""2025-12-24""]]",Downtown,2025-12-31,"Repeat customer, easy close",no,"$1,710",no
D1203,CUST1703,SALESP104,sedan,"$33,880-$48,150",pass,Critical,75,40,68,4,2025-11-24,2025-12-01,,<1 month,compare deals,No prior history,call,"Various, USA",walk-in,new customer,36-50,Male,Not specified,loyal,"[[""lead"", ""2025-11-24""], [""contacted"", ""2025-11-25""], [""appointment"", ""2025-11-28""], [""proposal"", ""2025-11-30""], [""negotiation"", ""2025-12-01""], [""sold"", ""2025-12-03""]]",Airport,2025-12-01,Customer appreciated responsive service,no,$926,no
D1204,CUST0310,SALESP011,sedan,"$34,800-$49,084",fail,Low,32,53,79,5,2025-10-07,2025-11-18,ghosted,1-3 months,trade-in,"Looked at 2021 Camry, did not purchase",email,"Memphis, TN",OEM feed,returning customer,36-50,Male,Administrative Assistant,loyal,"[[""lead"", ""2025-10-07""], [""contacted"", ""2025-10-10""], [""appointment"", ""2025-10-16""], [""proposal"", ""2025-10-20""], [""negotiation"", ""2025-10-23""], [""lost"", ""2025-11-18""]]",Downtown,,Customer stopped responding to calls and messages,yes,"$1,688",pending
D1205,CUST0383,SALESP029,SUV,"$47,389-$75,098",fail,High,23,52,84,11,2025-11-27,2025-12-05,bad experience,<1 month,trade-in,"Looked at 2022 Corolla, did not purchase",call,"Portland, OR",web,in-service customer,51-65,Male,Administrative Assistant,luxury,"[[""lead"", ""2025-11-27""], [""contacted"", ""2025-11-30""], [""appointment"", ""2025-12-03""], [""lost"", ""2025-12-05""]]",Main Street,,Customer complained about service quality,yes,$0,yes
D1206,CUST0165,SALESP023,SUV,"$52,784-$68,591",pass,Low,92,56,70,4,2025-03-23,2025-05-14,,just exploring,research,"Looked at 2022 RAV4, still considering",call,"Columbus, OH",walk-in,new customer,18-25,Female,Retail Manager,luxury,"[[""lead"", ""2025-03-23""], [""contacted"", ""2025-03-24""], [""appointment"", ""2025-03-30""], [""proposal"", ""2025-04-03""], [""negotiation"", ""2025-04-07""], [""sold"", ""2025-04-11""]]",Airport,2025-05-14,Upgraded to higher trim level,no,$928,no
